address,latitude,longitude
1470 BOLTON RD NW,33.79583,-84.49216
55 IVAN ALLEN JR BLVD NW,33.76502,-84.38985
620 GLEN IRIS DR NE,33.77168,-84.36779
29 BAKER ST NW,33.76235,-84.38852
3115 GARDEN WALK S.W.,33.66562,-84.51332
112 SCRUGGS CT NE,33.75675,-84.33688
3240 WEST MANOR PARK,33.73557,-84.49217
469 MARIETTA ST NW,33.76564,-84.39669
850 NORTHSIDE DR NW,33.77807,-84.40773
2035 LOIS PL NW,33.78504,-84.45444
1305 OAKLAND,33.71896,-84.42892
311 PEACHTREE HILLS AVE NE,33.8178,-84.37757
900 CONLEY RD SE,33.65326,-84.35968
1144 PIEDMONT AVE NE,33.78592,-84.37832
939 GREENWOOD AVE NE,33.7763,-84.35603
236 HOLLY ROAD NW,33.76179,-84.43798
4400 PEACHTREE DUNWOODY RD.,33.87456,-84.35885
685 ARGONNE AVE NE,33.77331,-84.37751
2174 POLAR ROCK AVE SW,33.69498,-84.39582
2440 EDGEWATER DR SW,33.73309,-84.46583
MCAFEE ST NW / IVAN ALLEN JR BLVD NW,33.76463,-84.39458
2492 SAINT PAUL AVE NW,33.78931,-84.46981
3639 PIEDMONT RD,33.85408,-84.38196
1160 EUCLID AVE,33.76543,-84.34965
95 PRYOR ST SW,33.71057,-84.35731
1700 MONROE DR NE,33.80052,-84.37307
2315 PERKERSON RD SW,33.69128,-84.41175
45 WHITEHOUSE DR SW @WASHINGTON HIGH,33.75382,-84.42109
925 SOCIETY CIR SW,33.74678,-84.5016
140 PARK AVE SE,33.71171,-84.38761
1937 PINEDALE DR NW,33.76613,-84.45027
1975 PLAZA LN SW,33.70534,-84.45325
640 NEW TOWN CIR SE,33.70652,-84.36352
105 CHICAMAUGA AVE SW,33.7522,-84.43241
347 GRANT PARK PL SE,33.73241,-84.37643
1454 HOSEA L WILLIAMS DR NE,33.75368,-84.33997
1874 PEACHTREE RD NW,33.80586,-84.39439
488 FLAT SHOALS AVE SE ,33.74098,-84.34589
119 RANDOLPH ST NE,33.75749,-84.36775
1560 LAUREL PARK PLACE,33.74731,-84.4398
1986 NORTH AVE NW,33.76845,-84.45365
2150 JERNIGAN DR SE,33.69552,-84.37208
1313 FOREST LAKES AVE SE,33.74354,-84.31304
2264 BAKER RD,33.76994,-84.46164
1444 W PACES FERRY RD NW,33.84681,-84.43491
2103 SPRINGLAKE DR NW,33.81188,-84.40828
440 MARKHAM ST SW,33.75276,-84.40179
1002 MCKAY DR SE,33.69894,-84.35647
3443 KINGSBORO RD NE,33.84972,-84.35844
2314 SANDSPRING DR SW,33.70259,-84.5426
830 WESTVIEW DR SW;,33.74611,-84.41451
735 CARON CIR NW,33.77534,-84.48515
3340 VILLA CIR SE,33.6593,-84.37695
1046 ASHBY GROVE STREET,33.74971,-84.42207
371 MARKET ST,33.7921,-84.39466
231 GREENHAVEN DRIVE,33.74119,-84.31334
1995 TURNER RD SE,33.69935,-84.3557
1083 COLEMAN ST SW,33.72533,-84.40418
2813 PEACHTREE RD NE,33.83199,-84.38453
820 RALPH MCGILL BLVD @ THE BELTLINE,33.76756,-84.36078
1379 KENILWORTH DR SW,33.71737,-84.43442
633 AMAL DR SW,33.70833,-84.39749
3351 HAZELWOOD DR SW,33.72795,-84.49821
2428 LAKEWOOD AVE SW,33.69695,-84.39849
2910 CAMPBELLTON RD SW,33.69754,-84.48365
949 WATKINS ST NW,33.78088,-84.40905
184 PETERS ST SW,33.74934,-84.39934
2089 MONROE DR NE,33.80978,-84.37317
93 CANDLER RD SE,33.74973,-84.29289
751 JAMES P BRAWLEY DR NW,33.77534,-84.41208
3778 KING HENRY RD SW,33.70179,-84.51195
1530 ELLSWORTH INDUSTRIAL BLVD NW,33.79686,-84.42789
1320 ELLSWORTH INDUSTRIAL BLVD NW,33.7907,-84.42691
2621 DONALD LEE HOLLOWELL PKWY NW ; PIC N PAY,33.77617,-84.47272
1940 FISHER RD SE,33.70982,-84.35933
962 HOBSON ST SW,33.72867,-84.4056
891 THURMOND ST NW,33.76059,-84.41678
964 RALPH D ABERNATHY BLVD SW,33.73773,-84.41962
486 DECATUR ST SE,33.75126,-84.37207
696  WEST  PEACHTREE  ST,33.77384,-84.38733
2323 ADAMS DR NW,33.81884,-84.45453
336 ADELLE ST SE,33.70108,-84.37797
3221 PEACHTREE RD NE,33.84218,-84.37344
200 RENAISSANCE PKWY NE,33.76896,-84.38069
14TH ST NE / JUNIPER ST NE,33.78649,-84.38216
1138 DONNELLY AVE SW,33.73166,-84.42523
